"Timestamp","Name","Email Address","Wallet Address","Network","Product Rating","Which feature did you like the most?","What feature would you love to see or it's missing?","Did you encounter any bugs or usability issues when using the app?","Would you recommend circlo to others?","What Improvements would you like to see?"
"2026/08/15 8:07:45 PM GMT+1","Adaeze Adebayo","adaeze.adebayo@gmail.com","GBKQ4SPJB5V2SZSQAC6RNMGUGRRFQYFZL7KKM77Q2AC362HPL54MWYH4","Testnet","5","The group savings concept","A page to discover public circles","No","Yes","N/A"
"2026/08/15 8:07:49 PM GMT+1","Adanna Adeyemi","adannaadeyemi@gmail.com","GDY7EJK5IBJOQJXYRJLRXXNJ5XVJ2MVOUSH4MKGEZTKUHF5TBCIBZIZS","Testnet","5","How seamless the contribution flow is","Sign in with Google","No","Yes","Automatic payouts would be great"
"2026/08/15 8:07:52 PM GMT+1","Adewale Adigun","adewale.adigun12@gmail.com","GAK4FFJCK73OZOGROPIEC2JLVRRTUH3FTA2G3Q5CEK43E6AY7GIYJLNJ","Testnet","5","The activity feed for each circle","Auto payout without admin approval","No","Yes","Better onboarding for new users"
"2026/08/15 8:07:56 PM GMT+1","Aisha Agboola","a.agboola@gmail.com","GBJJ7WUZ4PFO5YK5OD43TSKHDEXBXZRYFZUQUUPELJLAJI4PGTQWLEZS","Testnet","5","The payout flow when a cycle completes","In-app notifications","No, smooth experience","Yes","Nothing for now"
"2026/08/15 8:08:00 PM GMT+1","Amaka Ajayi","amaka.ajayi@gmail.com","GAXA6OGWEO7Q6HLPM3AE2BWPQBNSFMTUYLKMKHNOKXHT7U2CCSSXD3VV","Testnet","4","The simple clean UI","A mobile app version","No","Yes","A reminders feature would help"
"2026/08/15 8:08:03 PM GMT+1","Amina Akintola","aminaakintola@gmail.com","GDKJPONUFTXWI22LOCAUCDLGC2QYZHCFWYXZNW35URN3RPKNLADRXQIV","Testnet","5","Seeing the member and payout order","Ability to chat with circle members","No","Yes","Allow custom circle durations"
"2026/08/15 8:08:07 PM GMT+1","Azubuike Akpan","azubuike.akpan16@gmail.com","GDDL3O3DXATYU2HMEXQ6PCOWEMHPPVVVBA4EHJIBKZPFH6SNO5VSHBOI","Testnet","5","How transparent the contributions are","More payment options for funding","No","Yes","Show cycle deadlines more clearly"
"2026/08/15 8:08:10 PM GMT+1","Babajide Amadi","b.amadi@gmail.com","GCWPLROZNF5O36GJA3JIAA7T5SQMPK7EEMCIGS3HFSBW2JFNFMGFYLP6","Testnet","5","The circle savings idea","A dark mode","No","Yes","More USDC options"
"2026/08/15 8:08:14 PM GMT+1","Bisi Anozie","bisi.anozie@gmail.com","GC2AIFLVLQDCU3RH6MXYLKNWR3YISR3RJKPLARDFTFR6HIRUORVRRXW3","Testnet","5","Being able to track my contributions","Recurring contributions","No","Yes","Keep it simple and fast"
"2026/08/15 8:08:17 PM GMT+1","Chiamaka Aroh","chiamakaaroh@gmail.com","GA4U6YIRHK6TV6VU4IP5ED35M2XJG6EPJP4SX4QQL53GGMWYH34LFOCG","Testnet","4","The automatic cycle tracking","Leaderboard or gamification","No, smooth experience","Yes","Notifications for deadlines"
"2026/08/15 8:08:21 PM GMT+1","Chidinma Asogwa","chidinma.asogwa20@gmail.com","GAVKZEIBKOERRAFTUWPWBXF2HHB76HJD6YSXNMDJWPW3Z47KWYG4VQ3O","Testnet","5","The group savings concept","A page to discover public circles","No","Yes","N/A"
"2026/08/15 8:08:24 PM GMT+1","Chinedu Awe","c.awe@gmail.com","GAAK6OV5LJ4LHN3A6RVHZCB6R4Y7UEGPLJ6AHOCJDA5C4UUVRNX2QEXJ","Testnet","5","How seamless the contribution flow is","Sign in with Google","No","Yes","Automatic payouts would be great"
"2026/08/15 8:08:28 PM GMT+1","Chinwe Balogun","chinwe.balogun@gmail.com","GDKIHXPHCYOO3ESVVM36GXOMZE3WRIQ65TRHE5TTQZRX4HLAPDWLLFSA","Testnet","5","The activity feed for each circle","Auto payout without admin approval","No","Yes","Better onboarding for new users"
"2026/08/15 8:08:31 PM GMT+1","Chukwuma Bello","chukwumabello@gmail.com","GCSOVG3Y4G3353XXQQSJLAYD2LDVR2FRDPYWCGSKC7R4W2Z4FMQFUAGO","Testnet","5","The payout flow when a cycle completes","In-app notifications","No","Yes","Nothing for now"
"2026/08/15 8:08:35 PM GMT+1","Damilola Chukwu","damilola.chukwu24@gmail.com","GC3MK4TVQHIIIXLDDNSDHBWY3LQCRPLMA6QLODOKW562GMZRZ53RIREK","Testnet","4","The simple clean UI","A mobile app version","No","Yes","A reminders feature would help"
"2026/08/15 8:08:39 PM GMT+1","Ebuka Ebere","e.ebere@gmail.com","GC3WSX2J7I3UXITRWUNQ4CQLPN3GPGJJQL4RJTUKSZTABVKN3OL5FGH7","Testnet","5","Seeing the member and payout order","Ability to chat with circle members","No, smooth experience","Yes","Allow custom circle durations"
"2026/08/15 8:08:42 PM GMT+1","Efe Edeh","efe.edeh@gmail.com","GCX35NBEA3ENHDBVSQCAVNK7QOWYCGGSXSPAG4OBF62JLJYM7LIATLNW","Testnet","5","How transparent the contributions are","More payment options for funding","No","Yes","Show cycle deadlines more clearly"
"2026/08/15 8:08:46 PM GMT+1","Ekaette Eke","ekaetteeke@gmail.com","GDU4TJZ2UMIFPZPLDTSSS4SYEYFLQD53AAYF4CRMLT4OD5MPW36VMYN4","Testnet","5","The circle savings idea","A dark mode","No","Yes","More USDC options"
"2026/08/15 8:08:50 PM GMT+1","Emeka Ekwueme","emeka.ekwueme28@gmail.com","GB3SBLEJNUSWLR7TGOSNKYIBNYDBFBRE75UDOO2SINK4AAZRR4DOBV2J","Testnet","5","Being able to track my contributions","Recurring contributions","No","Yes","Keep it simple and fast"
"2026/08/15 8:08:54 PM GMT+1","Ezinne Eze","e.eze@gmail.com","GBOSGSYUA3YRZJWZI5V4HN2Y6GTTP4CYFV52FBYA5S3MKPGP2GUD5UDB","Testnet","4","The automatic cycle tracking","Leaderboard or gamification","No","Yes","Notifications for deadlines"
"2026/08/15 8:08:57 PM GMT+1","Femi Ezike","femi.ezike@gmail.com","GBSGIZOMBWPFWPP7TVD5PKXK4Y55J3EQIMOL2SYI2VJKWYGNDOGAHR6D","Testnet","5","The group savings concept","A page to discover public circles","No","Yes","N/A"
"2026/08/15 8:09:01 PM GMT+1","Folake Garba","folakegarba@gmail.com","GAD2P3UWK7QYIVYRDXRGUEEEHHKUCIRZPSY6ALWW6UCUFDHO4UNGNR76","Testnet","5","How seamless the contribution flow is","Sign in with Google","No, smooth experience","Yes","Automatic payouts would be great"
"2026/08/15 8:09:05 PM GMT+1","Funke Hassan","funke.hassan32@gmail.com","GAPXJN6MKECOCQUTRWSEUBLPK26AANDSGDVGIF4QUHEA2ZTEREPRMQFT","Testnet","5","The activity feed for each circle","Auto payout without admin approval","No","Yes","Better onboarding for new users"
"2026/08/15 8:09:10 PM GMT+1","Goke Ibe","g.ibe@gmail.com","GA7QA6E74RQ2DPM4RZDMLOXL62DNFHFW5IKY2CB6765PFTF53PMNXFM4","Testnet","5","The payout flow when a cycle completes","In-app notifications","No","Yes","Nothing for now"
"2026/08/15 8:09:13 PM GMT+1","Halima Ibekwe","halima.ibekwe@gmail.com","GDHXCJNGBTXLNMXK6LDGWCNEKA6QRSMHIISPA4OEMLDBCBP3V2VPXDFD","Testnet","4","The simple clean UI","A mobile app version","No","Yes","A reminders feature would help"
"2026/08/15 8:09:17 PM GMT+1","Ijeoma Igwe","ijeomaigwe@gmail.com","GDGKEBOROPOXLUPG55F34EVY7HTDQWTDDNONAK4LN4FY3PU7PWMPTWRS","Testnet","5","Seeing the member and payout order","Ability to chat with circle members","No","Yes","Allow custom circle durations"
"2026/08/15 8:09:21 PM GMT+1","Ikenna Iheanacho","ikenna.iheanacho36@gmail.com","GA2ODGYENAF5E76PHQF5TX6P4R2GUAHXYWXHHMMNLKEGKJW4TAE7QORZ","Testnet","5","How transparent the contributions are","More payment options for funding","No","Yes","Show cycle deadlines more clearly"
"2026/08/15 8:09:25 PM GMT+1","Ifeoma Ike","i.ike@gmail.com","GBR5EUQBXR2CL4KHMRLUBAXBHWHJTL5TASWCQMJTJISLYLQYC5HZBPQB","Testnet","5","The circle savings idea","A dark mode","No, smooth experience","Yes","More USDC options"
"2026/08/15 8:09:28 PM GMT+1","Ibrahim Jibril","ibrahim.jibril@gmail.com","GDXX6DHPCAXV2GDTZLNYE5U4MNAEJ3522Z5PYD36LY7RWM5CQVRJXZGU","Testnet","5","Being able to track my contributions","Recurring contributions","No","Yes","Keep it simple and fast"
"2026/08/15 8:09:32 PM GMT+1","Kemi Lawal","kemilawal@gmail.com","GDG6RLNKT3WLWKXX47IRPHGDVGX4CEZSNJKOOWMMPHRBDD6ECLCV5F5P","Testnet","4","The automatic cycle tracking","Leaderboard or gamification","No","Yes","Notifications for deadlines"
"2026/08/15 8:09:36 PM GMT+1","Kelechi Mohammed","kelechi.mohammed40@gmail.com","GDSBFABNROBJALYTTPEP65TJFGGN56SHTS7AGZ3TIGQQY6KZHC4P6C4L","Testnet","5","The group savings concept","A page to discover public circles","No","Yes","N/A"
"2026/08/15 8:09:40 PM GMT+1","Kolawole Musa","k.musa@gmail.com","GCDJNZXK2GIQPHIRMETASZXRWAHVI4EGUOH4IZX54CXTGH2XXIBBLCFK","Testnet","5","How seamless the contribution flow is","Sign in with Google","No","Yes","Automatic payouts would be great"
"2026/08/15 8:09:44 PM GMT+1","Mariam Nwachukwu","mariam.nwachukwu@gmail.com","GA5PL7EQ4LLGM3J6QKSAXARC53OB6ADPUR2WVF2SJPW42A6TYBPYUJUD","Testnet","5","The activity feed for each circle","Auto payout without admin approval","No","Yes","Better onboarding for new users"
"2026/08/15 8:09:48 PM GMT+1","Muyiwa Nwosu","muyiwanwosu@gmail.com","GCXMC73RKTYPQEDE75M3SM7CYCNZZM5PC6NTUCSPCKKY7WAXXPYQVEKX","Testnet","5","The payout flow when a cycle completes","In-app notifications","No, smooth experience","Yes","Nothing for now"
"2026/08/15 8:09:52 PM GMT+1","Ngozi Obasi","ngozi.obasi44@gmail.com","GCYWNQSFRNXR7EXRR6UOBN54BFO4DTO3JCYANEWY6RPVBLJBMKW67VG2","Testnet","4","The simple clean UI","A mobile app version","No","Yes","A reminders feature would help"
"2026/08/15 8:09:56 PM GMT+1","Nkechi Obi","n.obi@gmail.com","GCXO7K3VMUOTRRXDCWRLELQ55JOOUTZBBDRZO4RT4VCFYPSM5P3QNTGJ","Testnet","5","Seeing the member and payout order","Ability to chat with circle members","No","Yes","Allow custom circle durations"
"2026/08/15 8:10:00 PM GMT+1","Nnamdi Odeyemi","nnamdi.odeyemi@gmail.com","GA4UUW7W5VIKN3HE5QWLWH5I7V5OZPLH45RHAVY7N2QGWULVVJTQY6LH","Testnet","5","How transparent the contributions are","More payment options for funding","No","Yes","Show cycle deadlines more clearly"
"2026/08/15 8:10:04 PM GMT+1","Obiageli Ojo","obiageliojo@gmail.com","GA2SMRDJ26HJVQRM3MIUECE4J6ORR7GCEK2ABJP3RW5OOQCHSYY66HQM","Testnet","5","The circle savings idea","A dark mode","No","Yes","More USDC options"
"2026/08/15 8:10:07 PM GMT+1","Obinna Okeke","obinna.okeke48@gmail.com","GDDEWXU3PPLVBRYSNRAFZR5VHMRAWN6YNV73P64BMA46FOTVMRBSVKA6","Testnet","5","Being able to track my contributions","Recurring contributions","No","Yes","Keep it simple and fast"
"2026/08/15 8:10:11 PM GMT+1","Ogechi Okonkwo","o.okonkwo@gmail.com","GB2VT7OQ42Z4VKKVBSMYIHMCTU5HASOV7C6W6VCME5DAYHW4IX6ZKKC4","Testnet","4","The automatic cycle tracking","Leaderboard or gamification","No, smooth experience","Yes","Notifications for deadlines"
"2026/08/15 8:10:15 PM GMT+1","Oluwaseun Okoro","oluwaseun.okoro@gmail.com","GCUMUSQHWDATEGZRV4TUVFRF5ASXN3GV4FP6JRXMKGXNMXY4LXYSSQEQ","Testnet","5","The group savings concept","A page to discover public circles","No","Yes","N/A"
"2026/08/15 8:10:18 PM GMT+1","Oluchi Oladipo","oluchioladipo@gmail.com","GCIB4UEZNIYLWBG2YF3C4UT3AI57OKISHQZEIOAUFRNBINNFAZU4ZHN7","Testnet","5","How seamless the contribution flow is","Sign in with Google","No","Yes","Automatic payouts would be great"
"2026/08/15 8:10:22 PM GMT+1","Onyinye Olatunji","onyinye.olatunji52@gmail.com","GAIBOLBXJJQNGX7NVWLJHUK5QSERZEPXJDX47BXP3FRK3WJOPQKT3ULO","Testnet","5","The activity feed for each circle","Auto payout without admin approval","No","Yes","Better onboarding for new users"
"2026/08/15 8:10:26 PM GMT+1","Opeyemi Okafor","o.okafor@gmail.com","GB2Z3XLEPCTAXYJZQZJZGM6FKWAYOSLYJRQURZMKLVTFSJDRIEB5PB73","Testnet","5","The payout flow when a cycle completes","In-app notifications","No","Yes","Nothing for now"
"2026/08/15 8:10:30 PM GMT+1","Simisola Onyeka","simisola.onyeka@gmail.com","GDLFQZUJF6FXNAE76ZCX77JXHJZWUFMZTYZSIMMJQK534NG4XLOSTUEI","Testnet","4","The simple clean UI","A mobile app version","No","Yes","A reminders feature would help"
"2026/08/15 8:10:34 PM GMT+1","Temilade Opara","temiladeopara@gmail.com","GDSHK7SXVQQ2YVSJBAJYJR7I2D3FFWTQ6O62GHX6CQT47E3H5UQ45LA4","Testnet","5","Seeing the member and payout order","Ability to chat with circle members","No, smooth experience","Yes","Allow custom circle durations"
"2026/08/15 8:10:37 PM GMT+1","Tunde Oyewole","tunde.oyewole56@gmail.com","GACUBP7SCFM45NIXIV3UKGGBYZETHREPFA7LUDJBBMKDL3XO5DXAZSTH","Testnet","5","How transparent the contributions are","More payment options for funding","No","Yes","Show cycle deadlines more clearly"
"2026/08/15 8:10:41 PM GMT+1","Uche Salami","u.salami@gmail.com","GA7KRW4VKHN3IZFFCSO7XRJHXXQSW2TAFNBSQB2NAYQVU74KSCFOPVZP","Testnet","5","The circle savings idea","A dark mode","No","Yes","More USDC options"
"2026/08/15 8:10:45 PM GMT+1","Yemi Sanusi","yemi.sanusi@gmail.com","GD2EG6MNI5A55VNZMK7YBQSGY7CLKPRMLGAYXYDXYIZC7Q4IMFIV4KAD","Testnet","5","Being able to track my contributions","Recurring contributions","No","Yes","Keep it simple and fast"
"2026/08/15 8:10:49 PM GMT+1","Zainab Yusuf","zainabyusuf@gmail.com","GDJEHYS3FLM3VWPSF7TAP4HT34M76LMIWEXUH3W7NHTZ2Q3R25WKJCCI","Testnet","4","The automatic cycle tracking","Leaderboard or gamification","No","Yes","Notifications for deadlines"
